id,Booking_status,Probability
42100,0,0.13120261
42101,0,0.052139472
42102,0,0.29947376
42103,0,0.25607955
42104,1,0.5511002
42105,1,0.5259134
42106,1,0.5769129
42107,1,0.6857253
42108,0,2.122952e-07
42109,0,0.48755774
42110,1,0.66545254
42111,0,0.31310436
42112,0,0.44459864
42113,0,0.18369508
42114,0,0.3772003
42115,1,0.7498162
42116,0,0.059678245
42117,0,0.3381087
42118,1,0.8336566
42119,1,0.8187135
42120,1,0.848156
42121,0,0.22607201
42122,0,0.016306814
42123,1,0.5358169
42124,1,0.7663818
42125,0,0.0046999827
42126,0,4.982589e-37
42127,0,0.014116015
42128,0,0.3230232
42129,1,0.70678914
42130,1,0.82943386
42131,1,0.5356419
42132,0,0.37964135
42133,1,0.9422622
42134,0,0.37230426
42135,0,5.613543e-14
42136,0,0.06259278
42137,1,0.5336929
42138,1,0.5925537
42139,1,0.7800124
42140,0,0.003938876
42141,0,0.31089363
42142,1,0.6652562
42143,1,0.84634936
42144,0,0.14092663
42145,1,0.80538654
42146,0,0.09248289
42147,1,0.8471005
42148,1,0.5901228
42149,0,0.3792924
42150,0,0.35727146
42151,1,0.71783936
42152,1,0.7389957
42153,0,0.1732326
42154,1,0.5557369
42155,1,0.51452523
42156,1,0.54259735
42157,0,0.045971945
42158,0,0.36173707
42159,1,0.7597031
42160,1,0.6407257
42161,0,1.4020521e-05
42162,0,0.071102135
42163,0,0.06328713
42164,1,0.72090167
42165,0,0.3720466
42166,1,0.78516936
42167,0,2.4297724e-09
42168,1,0.6923338
42169,0,0.4871678
42170,0,0.033833325
42171,0,0.11926354
42172,0,0.41304022
42173,1,0.817477
42174,0,0.24455567
42175,0,0.30710033
42176,1,0.8492438
42177,0,0.19830453
42178,0,0.053904757
42179,1,0.822696
42180,1,0.70624083
42181,0,0.49340358
42182,1,0.6744808
42183,0,0.44027016
42184,0,0.11363565
42185,0,0.20650828
42186,0,0.22757259
42187,0,0.38510132
42188,0,0.042074144
42189,0,0.20608337
42190,0,0.344345
42191,0,0.41153517
42192,0,0.30037388
42193,0,0.33738837
42194,0,0.342977
42195,1,0.85894513
42196,1,0.81180876
42197,0,0.46361858
42198,1,0.6323401
42199,1,0.5300395
42200,1,0.56792337
42201,1,0.6461662
42202,1,0.51775944
42203,0,0.32860813
42204,1,0.7422598
42205,0,0.25191718
42206,0,0.019388257
42207,1,0.6980561
42208,0,0.07420465
42209,0,0.38084915
42210,0,0.32191917
42211,0,0.29523033
42212,0,0.3793688
42213,1,0.79637265
42214,1,0.7479756
42215,0,0.4767177
42216,1,0.5912237
42217,0,0.21841866
42218,0,0.040893782
42219,0,0.22909686
42220,0,0.44285187
42221,1,0.66029626
42222,0,0.48157933
42223,0,0.17401817
42224,1,0.8502022
42225,1,0.7000086
42226,1,0.8244845
42227,0,0.080091335
